date,customer_id,product,price,quantity,coupon_code,shipping_city
09/13/2024,CUST3469,Tablet,997.73,8,SAVE10,Chicago
07/31/2024,CUST2406,Laptop,833.0,3,FREESHIP,Chicago
06/24/2024,CUST8460,Phone,525.9,6,INVALID,New York
08/12/2024,CUST8412,Tablet,76.5,1,SAVE10,New York
06/24/2024,CUST2791,Phone,930.62,4,,Los Angeles
10/09/2024,CUST3623,Tablet,564.25,8,SAVE20,LA
07/26/2024,CUST4022,Phone,644.07,7,INVALID,New York
11/10/2024,CUST4232,Headphones,596.28,7,SAVE10,new york
04/19/2024,CUST4371,Tablet,754.8,2,,New York
10/01/2024,CUST4063,Tablet,332.73,8,SAVE10,Chicago
12/09/2024,CUST9019,Charger,966.26,6,,Houston
11/08/2024,CUST7431,Charger,123.09,6,INVALID,Phoenix
03/29/2024,CUST5873,Charger,594.27,3,FREESHIP,New York
05/02/2024,CUST6003,Laptop,191.21,3,,Houston
08/02/2024,CUST3258,Charger,389.87,3,INVALID,new york
10/02/2024,CUST3838,Charger,175.2,5,SAVE20,Los Angeles
06/10/2024,CUST8389,Charger,63.08,6,SAVE10,Houston
03/10/2024,CUST4196,Headphones,964.19,9,INVALID,Houston
12/16/2024,CUST9056,Headphones,713.04,8,INVALID,Los Angeles
02/12/2024,CUST1505,Phone,299.17,5,SAVE20,Phoenix
05/27/2024,CUST3755,Headphones,569.99,8,,Phoenix
02/27/2024,CUST2871,Tablet,777.36,6,,LA
01/22/2024,CUST8231,Charger,226.36,7,SAVE10,new york
11/30/2024,CUST5055,Tablet,876.06,1,INVALID,Chicago
06/27/2024,CUST2425,Headphones,866.64,2,SAVE20,Los Angeles
10/28/2024,CUST6744,Charger,636.44,3,,Los Angeles
04/15/2024,CUST4390,Laptop,574.37,9,FREESHIP,Phoenix
10/02/2024,CUST3758,Tablet,979.21,5,FREESHIP,Phoenix
05/16/2024,CUST9428,Laptop,144.23,7,SAVE10,Chicago
12/01/2024,CUST3078,Phone,257.18,6,SAVE20,LA
12/12/2024,CUST7434,Headphones,150.75,5,INVALID,Houston
08/19/2024,CUST2237,Laptop,408.82,5,FREESHIP,Houston
09/06/2024,CUST6362,Charger,12.45,2,INVALID,new york
12/06/2024,CUST6869,Laptop,797.72,7,SAVE20,Houston
04/18/2024,CUST9105,Tablet,329.64,5,FREESHIP,Phoenix
10/22/2024,CUST3139,Charger,853.9,6,SAVE10,New York
02/20/2024,CUST8529,Laptop,132.99,3,INVALID,Houston
01/01/2024,CUST8009,Phone,995.74,3,FREESHIP,Los Angeles
05/20/2024,CUST2529,Tablet,257.89,6,SAVE20,New York
07/21/2024,CUST6005,Phone,434.94,2,SAVE10,New York
04/19/2024,CUST8812,Laptop,141.37,4,,new york
08/15/2024,CUST1152,Laptop,698.64,2,INVALID,new york
03/08/2024,CUST8826,Laptop,236.66,2,SAVE10,New York
06/09/2024,CUST7022,Tablet,145.76,3,SAVE20,New York
09/28/2024,CUST1138,Charger,653.52,8,FREESHIP,new york
04/19/2024,CUST3480,Headphones,619.92,8,SAVE20,New York
02/21/2024,CUST3293,Laptop,593.68,7,FREESHIP,Houston
06/10/2024,CUST3290,Phone,284.2,2,SAVE20,Phoenix
11/03/2024,CUST5668,Laptop,849.41,5,SAVE20,Phoenix
11/06/2024,CUST9348,Phone,750.37,5,SAVE10,LA
05/02/2024,CUST9108,Headphones,121.62,8,,New York
09/27/2024,CUST1197,Tablet,934.59,3,INVALID,LA
10/18/2024,CUST7895,Tablet,550.89,3,INVALID,LA
02/07/2024,CUST1273,Charger,76.86,5,SAVE20,New York
01/31/2024,CUST7520,Charger,293.62,9,INVALID,Houston
12/25/2024,CUST7590,Laptop,644.13,9,,Los Angeles
05/22/2024,CUST2369,Tablet,88.23,4,SAVE20,Phoenix
06/16/2024,CUST7401,Charger,637.95,2,FREESHIP,new york
08/11/2024,CUST4909,Laptop,252.03,7,SAVE10,Houston
11/09/2024,CUST1901,Tablet,669.42,3,SAVE10,New York
12/28/2024,CUST3248,Laptop,172.19,6,,Phoenix
05/12/2024,CUST3735,Tablet,135.66,5,SAVE10,LA
01/16/2024,CUST6488,Headphones,279.26,2,FREESHIP,new york
10/22/2024,CUST2262,Headphones,460.65,6,SAVE10,Houston
10/17/2024,CUST3734,Tablet,165.74,2,,new york
02/29/2024,CUST4742,Charger,12.54,1,SAVE20,New York
08/29/2024,CUST6963,Headphones,921.02,3,SAVE10,Phoenix
12/31/2024,CUST7870,Phone,328.58,7,FREESHIP,Chicago
02/09/2024,CUST7108,Laptop,507.02,1,SAVE20,Los Angeles
09/21/2024,CUST1752,Headphones,78.24,8,FREESHIP,LA
06/08/2024,CUST6362,Laptop,557.56,1,FREESHIP,Los Angeles
05/29/2024,CUST5979,Charger,250.16,6,,Houston
04/10/2024,CUST9954,Phone,159.06,7,SAVE10,Los Angeles
10/04/2024,CUST6675,Laptop,951.48,1,INVALID,LA
06/06/2024,CUST2703,Phone,534.52,4,INVALID,Houston
01/31/2024,CUST3332,Tablet,102.1,4,,Houston
12/24/2024,CUST7102,Headphones,974.81,2,,New York
09/15/2024,CUST3187,Headphones,84.08,10,SAVE10,Houston
12/05/2024,CUST3141,Phone,298.76,6,INVALID,new york
